ID.A	ID.B	WEIGHT
ENSG00000049245	ENSG00000106636	0.459046989966469
ENSG00000106636	ENSG00000105829	0.869910894977544
ENSG00000004059	ENSG00000132254	0.630802876880095
ENSG00000132254	ENSG00000134287	0.450719852781987
ENSG00000049245	ENSG00000135823	0.317875803116742
ENSG00000106636	ENSG00000135823	0.597963149305506
ENSG00000132254	ENSG00000120805	0.583623173736538
ENSG00000004059	ENSG00000090565	0.349886339034423
ENSG00000090565	ENSG00000103769	0.281013206321715
ENSG00000111481	ENSG00000095139	0.569050269880785
ENSG00000132254	ENSG00000143761	0.82532767153714
ENSG00000004059	ENSG00000151693	0.381095079385621
ENSG00000105829	ENSG00000162236	0.811440560490732
ENSG00000106636	ENSG00000162236	0.805482364885833
ENSG00000135823	ENSG00000162236	0.557771555485332
ENSG00000004059	ENSG00000164144	0.285840246881662
ENSG00000134287	ENSG00000164144	0.204237930287941
ENSG00000143761	ENSG00000164144	0.373986666892272
ENSG00000163479	ENSG00000180879	0.696223653995393
ENSG00000134287	ENSG00000181467	0.386311972288374
ENSG00000111481	ENSG00000184432	0.356136772298086
ENSG00000095139	ENSG00000184432	0.220147049745723
ENSG00000143761	ENSG00000105438	0.717398300861193
ENSG00000090565	ENSG00000185236	0.312215847586058
ENSG00000111716	ENSG00000150991	0.155270840234109
ENSG00000150991	ENSG00000141367	0.236358665748995
ENSG00000150991	ENSG00000164924	0.233736585700009
ENSG00000180879	ENSG00000150991	0.326099355425534
ENSG00000141367	ENSG00000100280	0.485931108628615
ENSG00000090565	ENSG00000132698	0.0732707295951505
ENSG00000184432	ENSG00000107862	0.292531592566843
ENSG00000150991	ENSG00000099194	0.373799361650001
ENSG00000049245	ENSG00000124222	0.330201544998887
ENSG00000106636	ENSG00000124222	0.621149372859197
ENSG00000135823	ENSG00000124222	0.430126675631836
ENSG00000162236	ENSG00000124222	0.579399336381853
ENSG00000066777	ENSG00000124198	0.158284744136686
ENSG00000135823	ENSG00000117758	0.317527522407729
ENSG00000150991	ENSG00000160948	0.336587675621478
ENSG00000141367	ENSG00000116675	0.40693363527934
ENSG00000150991	ENSG00000066044	0.346092715799051
ENSG00000105404	ENSG00000138069	0.325144613977837
ENSG00000107862	ENSG00000138069	0.348452986246506
ENSG00000150991	ENSG00000134333	0.181076478049545
ENSG00000084774	ENSG00000021826	0.585606812388245
ENSG00000150991	ENSG00000021826	0.247131044616912
ENSG00000140374	ENSG00000117054	0.230578333812433
