ID.A	ID.B	WEIGHT
ENSG00000049245	ENSG00000106636	0.365434443522596
ENSG00000106636	ENSG00000105829	0.215886002688238
ENSG00000004059	ENSG00000132254	0.279360412372796
ENSG00000132254	ENSG00000134287	0.196552284044165
ENSG00000049245	ENSG00000135823	0.69076988685485
ENSG00000106636	ENSG00000135823	0.425608236563108
ENSG00000132254	ENSG00000120805	0.154680136934519
ENSG00000004059	ENSG00000090565	0.355325828101321
ENSG00000090565	ENSG00000103769	0.277684563758389
ENSG00000111481	ENSG00000095139	0.293098444394209
ENSG00000132254	ENSG00000143761	0.261020071514811
ENSG00000004059	ENSG00000151693	0.192817533694731
ENSG00000105829	ENSG00000162236	0.3690032793753
ENSG00000106636	ENSG00000162236	0.384850315284708
ENSG00000135823	ENSG00000162236	0.727471133215259
ENSG00000004059	ENSG00000164144	0.544489329140755
ENSG00000134287	ENSG00000164144	0.383091578263693
ENSG00000143761	ENSG00000164144	0.50874296191156
ENSG00000163479	ENSG00000180879	0.27870061245378
ENSG00000134287	ENSG00000181467	0.46062459406798
ENSG00000111481	ENSG00000184432	0.25999125926446
ENSG00000095139	ENSG00000184432	0.282140066812714
ENSG00000143761	ENSG00000105438	0.254766802556587
ENSG00000090565	ENSG00000185236	0.263693440138558
ENSG00000111716	ENSG00000150991	0.312363353503637
ENSG00000150991	ENSG00000141367	0.45885677872316
ENSG00000150991	ENSG00000164924	0.622828780738988
ENSG00000180879	ENSG00000150991	0.405052775908276
ENSG00000141367	ENSG00000100280	0.374772119132356
ENSG00000090565	ENSG00000132698	0.0437594717471314
ENSG00000184432	ENSG00000107862	0.304911640343375
ENSG00000150991	ENSG00000099194	0.177478174994789
ENSG00000049245	ENSG00000124222	0.643334687045483
ENSG00000106636	ENSG00000124222	0.396381699439718
ENSG00000135823	ENSG00000124222	0.749268566569523
ENSG00000162236	ENSG00000124222	0.677515657135186
ENSG00000066777	ENSG00000124198	0.733616165352584
ENSG00000135823	ENSG00000117758	0.713246972919492
ENSG00000150991	ENSG00000160948	0.547000005647954
ENSG00000141367	ENSG00000116675	0.280728863494398
ENSG00000150991	ENSG00000066044	0.361974263400215
ENSG00000105404	ENSG00000138069	0.255308068685303
ENSG00000107862	ENSG00000138069	0.398202792446703
ENSG00000150991	ENSG00000134333	0.332490199511501
ENSG00000084774	ENSG00000021826	0.0654525878665739
ENSG00000150991	ENSG00000021826	0.179729203824616
ENSG00000140374	ENSG00000117054	0.385917406482192
ENSG00000003056	ENSG00000105355	0.402594471867355
ENSG00000141367	ENSG00000103365	0.481728049767236
ENSG00000003056	ENSG00000103365	0.731813302229123
ENSG00000134287	ENSG00000100083	0.439245507685646
ENSG00000141367	ENSG00000100083	0.49430572612037
ENSG00000143761	ENSG00000100083	0.583314991154742
ENSG00000150991	ENSG00000100083	0.716400959547481
ENSG00000003056	ENSG00000100083	0.750920578358888
ENSG00000150991	ENSG00000177606	0.559932386964411
ENSG00000150991	ENSG00000091831	0.625035671748622
ENSG00000177606	ENSG00000091831	0.526262861339551
ENSG00000091831	ENSG00000173153	0.576873037189642
ENSG00000066044	ENSG00000096717	0.407115939973455
ENSG00000177606	ENSG00000096717	0.629761347945769
ENSG00000150991	ENSG00000108773	0.428710647531556
ENSG00000108773	ENSG00000130699	0.377465683291539
ENSG00000096717	ENSG00000114166	0.665205901188184
ENSG00000108773	ENSG00000114166	0.381278467971252
ENSG00000150991	ENSG00000109819	0.265488988459004
ENSG00000173153	ENSG00000109819	0.24503151745609
ENSG00000096717	ENSG00000109819	0.298598022063204
ENSG00000091831	ENSG00000125686	0.491997283263998
ENSG00000108773	ENSG00000125686	0.337459897771571
ENSG00000137504	ENSG00000172534	0.486094410067962
ENSG00000100603	ENSG00000084676	0.787526638538139
ENSG00000177606	ENSG00000084676	0.619838871851026
ENSG00000091831	ENSG00000084676	0.691907477871857
ENSG00000114166	ENSG00000084676	0.654724963172296
ENSG00000109819	ENSG00000084676	0.293893332349355
ENSG00000177606	ENSG00000180530	0.62195715326451
ENSG00000173153	ENSG00000180530	0.68177015397259
ENSG00000091831	ENSG00000180530	0.694272051661574
ENSG00000114166	ENSG00000180530	0.656962466793665
ENSG00000150991	ENSG00000185591	0.704748575016612
ENSG00000177606	ENSG00000185591	0.593378935598377
ENSG00000091831	ENSG00000185591	0.662371047375738
ENSG00000114166	ENSG00000185591	0.626775795129927
ENSG00000172534	ENSG00000185591	0.524246500881807
ENSG00000164924	ENSG00000163932	0.73452210824657
ENSG00000185591	ENSG00000163932	0.831132768930124
ENSG00000150991	ENSG00000100644	0.661802475969129
ENSG00000134333	ENSG00000100644	0.330879275998902
ENSG00000177606	ENSG00000100644	0.557219500241878
ENSG00000084676	ENSG00000100644	0.732607917746672
ENSG00000185591	ENSG00000100644	0.701334050162546
ENSG00000091831	ENSG00000196367	0.56227075694437
ENSG00000108773	ENSG00000196367	0.38566032499122
ENSG00000130699	ENSG00000196367	0.526734260407034
ENSG00000114166	ENSG00000196367	0.532054808491954
ENSG00000150991	ENSG00000197122	0.77554563860568
ENSG00000177606	ENSG00000197122	0.652988117830468
ENSG00000091831	ENSG00000197122	0.728910983493399
ENSG00000163932	ENSG00000197122	0.914626033874317
ENSG00000150991	ENSG00000185345	0.527800053864135
ENSG00000177606	ENSG00000137947	0.602260852402286
ENSG00000091831	ENSG00000137947	0.672285663792272
ENSG00000084676	ENSG00000137947	0.79182632486345
ENSG00000185591	ENSG00000137947	0.758024517602656
ENSG00000150991	ENSG00000124151	0.717636818512876
ENSG00000091831	ENSG00000124151	0.674484302579202
ENSG00000114166	ENSG00000124151	0.638238094383258
ENSG00000084676	ENSG00000124151	0.794415908673012
ENSG00000180530	ENSG00000124151	0.797130802059567
ENSG00000091831	ENSG00000169297	0.287357941076704
ENSG00000173153	ENSG00000196482	0.0658713156652532
ENSG00000109819	ENSG00000196482	0.0284924466939809
ENSG00000105229	ENSG00000188612	0.467362640830318
ENSG00000096717	ENSG00000103510	0.795665685391359
ENSG00000172534	ENSG00000103510	0.526249321483911
ENSG00000150991	ENSG00000135679	0.519634557128488
ENSG00000091831	ENSG00000135679	0.488388196953377
ENSG00000114166	ENSG00000135679	0.462142633936533
ENSG00000185591	ENSG00000135679	0.550673987766017
ENSG00000100644	ENSG00000135679	0.517116914421222
ENSG00000196367	ENSG00000135679	0.467453825401177
ENSG00000150991	ENSG00000100387	0.557195842112464
ENSG00000150991	ENSG00000101266	0.407436218198682
ENSG00000100083	ENSG00000101266	0.438912673895454
ENSG00000177606	ENSG00000101266	0.343050100489047
ENSG00000096717	ENSG00000101266	0.458247438348368
ENSG00000101266	ENSG00000004478	0.202812214541057
ENSG00000189369	ENSG00000105640	0.137175060455368
ENSG00000150991	ENSG00000113580	0.743810545887139
ENSG00000177606	ENSG00000113580	0.62626804175511
ENSG00000109819	ENSG00000113580	0.296941689354957
ENSG00000125686	ENSG00000113580	0.585491011762227
ENSG00000084676	ENSG00000113580	0.82338993129698
ENSG00000180530	ENSG00000113580	0.826203842567675
ENSG00000197122	ENSG00000113580	0.867425174340142
ENSG00000124151	ENSG00000113580	0.802655848249751
ENSG00000004478	ENSG00000113580	0.370251482986231
ENSG00000150991	ENSG00000074800	0.351292910913585
ENSG00000091831	ENSG00000106546	0.736461026120215
ENSG00000084676	ENSG00000106546	0.867412856059535
ENSG00000197122	ENSG00000106546	0.913802463806109
ENSG00000177606	ENSG00000127445	0.358955792506089
ENSG00000100216	ENSG00000130204	0.292749557291834
ENSG00000132603	ENSG00000136718	0.250361105782141
ENSG00000150991	ENSG00000108854	0.459165743464509
ENSG00000164924	ENSG00000102882	0.32218275151521
ENSG00000177606	ENSG00000102882	0.289647111170148
ENSG00000185591	ENSG00000102882	0.364558996062884
ENSG00000163932	ENSG00000102882	0.405702311081693
ENSG00000004478	ENSG00000107537	0.21061183930133
ENSG00000143398	ENSG00000011405	0.334155669132284
ENSG00000188612	ENSG00000142230	0.27100528735171
ENSG00000164924	ENSG00000146648	0.0668423799332942
ENSG00000150991	ENSG00000146648	0.0713708552515727
ENSG00000177606	ENSG00000146648	0.0600922990456927
ENSG00000091831	ENSG00000146648	0.0670792248767188
ENSG00000197122	ENSG00000146648	0.0832320500182773
ENSG00000108854	ENSG00000146648	0.0492779589289249
ENSG00000105373	ENSG00000155438	0.516688953038601
ENSG00000132603	ENSG00000155438	0.313502954114103
ENSG00000136718	ENSG00000155438	0.333293571114837
ENSG00000004478	ENSG00000168439	0.165571752657503
ENSG00000146648	ENSG00000175354	0.0803093834164176
ENSG00000004478	ENSG00000177556	0.197451345691743
ENSG00000132603	ENSG00000188976	0.20928213290727
ENSG00000136718	ENSG00000188976	0.222493563559234
ENSG00000155438	ENSG00000188976	0.278607131204681
ENSG00000132603	ENSG00000179041	0.208257785118191
ENSG00000155438	ENSG00000179041	0.277243466782369
ENSG00000106617	ENSG00000181929	0.699358499685097
ENSG00000150991	ENSG00000096384	0.357030827538634
ENSG00000100644	ENSG00000096384	0.355301004056168
ENSG00000168439	ENSG00000096384	0.178574654299539
ENSG00000150991	ENSG00000080824	0.454884374905819
ENSG00000080824	ENSG00000086061	0.434958464808398
ENSG00000091831	ENSG00000080824	0.427531534681177
ENSG00000100644	ENSG00000080824	0.452680448485952
ENSG00000197122	ENSG00000080824	0.530482070184518
ENSG00000004478	ENSG00000080824	0.226430796561601
ENSG00000101266	ENSG00000080824	0.278691024408018
ENSG00000113580	ENSG00000080824	0.50877490448748
ENSG00000106546	ENSG00000080824	0.535976790847747
ENSG00000146648	ENSG00000080824	0.0488184797386811
ENSG00000168439	ENSG00000080824	0.227517664385096
ENSG00000096384	ENSG00000080824	0.244213161784905
ENSG00000132603	ENSG00000113460	0.250702555045167
ENSG00000136718	ENSG00000113460	0.266528748013666
ENSG00000155438	ENSG00000113460	0.333748125922274
ENSG00000188976	ENSG00000113460	0.222797006312725
ENSG00000179041	ENSG00000113460	0.221706508917369
ENSG00000150991	ENSG00000104365	0.712296142269562
ENSG00000197122	ENSG00000104365	0.830673360046357
ENSG00000124151	ENSG00000104365	0.768648236355001
ENSG00000164924	ENSG00000118689	0.674335030211396
ENSG00000150991	ENSG00000118689	0.720020260803282
ENSG00000091831	ENSG00000118689	0.67672442511683
ENSG00000096717	ENSG00000118689	0.809813721349466
ENSG00000104365	ENSG00000118689	0.771201099677664
ENSG00000164924	ENSG00000186868	0.38187378220394
ENSG00000150991	ENSG00000186868	0.40774518294003
ENSG00000185345	ENSG00000186868	0.323609006278415
ENSG00000127445	ENSG00000186868	0.261393158692358
ENSG00000150991	ENSG00000100316	0.474349153610793
ENSG00000105640	ENSG00000100316	0.206589178070885
ENSG00000091831	ENSG00000198668	0.521907067516388
ENSG00000004478	ENSG00000198668	0.276414307349263
ENSG00000101266	ENSG00000198668	0.340210729485472
ENSG00000146648	ENSG00000198668	0.059594924664501
ENSG00000080824	ENSG00000198668	0.379830113538867
ENSG00000177084	ENSG00000009413	0.421812451403577
ENSG00000132603	ENSG00000107937	0.326504291437032
ENSG00000136718	ENSG00000107937	0.347115648670287
ENSG00000155438	ENSG00000107937	0.434659293173368
ENSG00000188976	ENSG00000107937	0.290161297587583
ENSG00000113460	ENSG00000107937	0.347589054401792
ENSG00000150991	ENSG00000198742	0.658094899072943
ENSG00000108854	ENSG00000198742	0.454381179734242
ENSG00000150991	ENSG00000122406	0.604026069336904
ENSG00000135679	ENSG00000122406	0.471971786971751
ENSG00000105640	ENSG00000122406	0.263066241918681
ENSG00000100316	ENSG00000122406	0.430840125251457
ENSG00000004478	ENSG00000174842	0.263297755287621
ENSG00000100387	ENSG00000174842	0.443182781700124
ENSG00000132603	ENSG00000117133	0.398839004542783
ENSG00000155438	ENSG00000117133	0.530954980841251
ENSG00000188976	ENSG00000117133	0.354444477827001
ENSG00000113460	ENSG00000117133	0.424594947396928
ENSG00000107937	ENSG00000117133	0.552974310224329
ENSG00000132603	ENSG00000173145	0.21534942365797
ENSG00000136718	ENSG00000173145	0.228943866418444
ENSG00000155438	ENSG00000173145	0.286684220475299
ENSG00000188976	ENSG00000173145	0.191379010451339
ENSG00000179041	ENSG00000173145	0.190442290897172
ENSG00000113460	ENSG00000173145	0.229256106269833
ENSG00000107937	ENSG00000173145	0.298573353278187
ENSG00000117133	ENSG00000173145	0.364720164872438
ENSG00000155438	ENSG00000142684	0.286614288966462
ENSG00000107937	ENSG00000142684	0.298500521627186
ENSG00000178950	ENSG00000169083	0.1939079519953
